stop_lat,stop_lon,stop_name
42.337317,-71.252256,Riverside
42.332702999999995,-71.243055,Woodland
42.325695,-71.230476,Waban
42.318871,-71.21642,Eliot
42.322738,-71.20508199999999,Newton Highlands
42.329552,-71.192024,Newton Centre
42.326799,-71.164146,Chestnut Hill
42.335181,-71.147879,Reservoir
42.335625,-71.140112,Beaconsfield
42.331292999999995,-71.126406,Brookline Hills
42.332614,-71.116751,Brookline Village
42.341808,-71.109777,Longwood
42.345327999999995,-71.104269,Fenway
42.347888,-71.087903,Hynes Convention Center
42.350126,-71.077376,Copley
42.351901999999995,-71.070893,Arlington
42.353214,-71.064545,Boylston
42.356395,-71.062424,Park Street
42.359705,-71.059215,Government Center
42.363021,-71.05829,Haymarket
42.365576999999995,-71.06129,North Station
42.366664,-71.067666,Science Park/West End
42.370989,-71.07585999999999,Lechmere
42.348949,-71.095169,Kenmore
42.349871,-71.078049,Copley
42.333094,-71.243659,Woodland
42.325967,-71.23071399999999,Waban
42.319213999999995,-71.216949,Eliot
42.32253,-71.205421,Newton Highlands
42.3294,-71.192622,Newton Centre
42.326782,-71.16478,Chestnut Hill
42.335163,-71.148601,Reservoir
42.335912,-71.140903,Beaconsfield
42.331413,-71.127025,Brookline Hills
42.33257,-71.117041,Brookline Village
42.341570999999995,-71.110147,Longwood
42.345029,-71.104968,Fenway
42.352531,-71.06468199999999,Boylston
42.337348,-71.252236,Riverside
42.371566,-71.07645699999999,Lechmere
