stop_lat,stop_lon,stop_name
42.283767999999995,-71.063191,Ashmont
42.272476999999995,-71.062438,Butler
42.270308,-71.067289,Milton
42.270001,-71.073358,Central Avenue
42.268347,-71.08134299999999,Valley Road
42.267563,-71.087338,Capen Street
42.267559,-71.092233,Mattapan
42.279546,-71.060392,Cedar Grove
42.272448999999995,-71.062513,Butler
42.270388,-71.067253,Milton
42.270053999999995,-71.073523,Central Avenue
42.268389,-71.081504,Valley Road
42.267589,-71.087139,Capen Street
42.279692999999995,-71.06038099999999,Cedar Grove
42.267624999999995,-71.092389,Mattapan
