stop_lat,stop_lon,stop_name
42.33829,-71.153025,Chestnut Hill Avenue
42.339371,-71.157057,South Street
42.34024,-71.166849,Boston College
42.34054,-71.15114,Chiswick Road
42.341577,-71.146607,Sutherland Road
42.343974,-71.142731,Washington Street
42.347888,-71.087903,Hynes Convention Center
42.348285,-71.140436,Warren Street
42.348546,-71.137362,Allston Street
42.348747,-71.1345,Griggs Street
42.348949,-71.095169,Kenmore
42.349165,-71.09982099999999,Blandford Street
42.349659,-71.103989,Boston University East
42.349871,-71.078049,Copley
42.350013,-71.10690199999999,Boston University Central
42.350263,-71.131298,Harvard Avenue
42.350901,-71.114318,Amory Street
42.351538,-71.119553,Babcock Street
42.351651,-71.12550999999999,Packard's Corner
42.351901999999995,-71.070893,Arlington
42.352531,-71.06468199999999,Boylston
42.356395,-71.062424,Park Street
42.359705,-71.059215,Government Center
42.363021,-71.05829,Haymarket
42.365576999999995,-71.06129,North Station
42.366664,-71.067666,Science Park/West End
42.370989,-71.07585999999999,Lechmere
