service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway
2022-05-14,SL1,Inbound,55593025,17093,trmb2,3,Midpoint,Headway,1900-01-01T06:01:00Z,1900-01-01T06:08:50Z,600,1593
2022-05-14,SL1,Inbound,55593057,27092,trmb1,2,Midpoint,Headway,1900-01-01T06:09:00Z,1900-01-01T06:17:05Z,600,580
2022-05-14,SL1,Inbound,55593025,74615,wtcst,9,Midpoint,Headway,1900-01-01T06:13:00Z,1900-01-01T06:23:27Z,600,1734
2022-05-14,SL1,Inbound,55593025,74617,soust,11,Endpoint,Headway,1900-01-01T06:18:00Z,1900-01-01T06:26:15Z,600,1733
2022-05-14,SL1,Inbound,55593057,74617,soust,11,Endpoint,Headway,1900-01-01T06:28:00Z,1900-01-01T06:34:45Z,600,510
2022-05-14,SL1,Inbound,55593105,74614,conrd,8,Midpoint,Headway,1900-01-01T06:41:00Z,1900-01-01T06:42:59Z,600,568
2022-05-14,SL1,Inbound,55593027,17095,terme,5,Midpoint,Headway,1900-01-01T06:45:00Z,1900-01-01T06:51:46Z,600,1133
2022-05-14,SL1,Inbound,55593027,12008,twtns,7,Midpoint,Headway,1900-01-01T06:50:00Z,1900-01-01T06:55:46Z,600,1132
2022-05-14,SL1,Inbound,55593027,74616,crtst,10,Midpoint,Headway,1900-01-01T06:55:00Z,1900-01-01T07:04:05Z,600,1089
2022-05-14,SL1,Inbound,55593059,74615,wtcst,9,Midpoint,Headway,1900-01-01T07:03:00Z,1900-01-01T07:08:44Z,600,374
2022-05-14,SL1,Inbound,55593059,74617,soust,11,Endpoint,Headway,1900-01-01T07:08:00Z,1900-01-01T07:11:40Z,600,371
2022-05-14,SL1,Inbound,55593107,17094,trmcd,4,Midpoint,Headway,1900-01-01T07:13:00Z,1900-01-01T07:13:12Z,600,568
2022-05-14,SL1,Inbound,55593029,17093,trmb2,3,Midpoint,Headway,1900-01-01T07:21:00Z,1900-01-01T07:28:33Z,600,1052
2022-05-14,SL1,Inbound,55593029,12007,twtnn,6,Midpoint,Headway,1900-01-01T07:27:00Z,1900-01-01T07:33:40Z,600,1024
2022-05-14,SL1,Inbound,55593029,74614,conrd,8,Midpoint,Headway,1900-01-01T07:31:00Z,1900-01-01T07:40:46Z,600,1085
2022-05-14,SL1,Inbound,55593061,17095,terme,5,Midpoint,Headway,1900-01-01T07:35:00Z,1900-01-01T07:40:21Z,600,495
2022-05-14,SL1,Inbound,55593061,12008,twtns,7,Midpoint,Headway,1900-01-01T07:40:00Z,1900-01-01T07:44:05Z,600,484
2022-05-14,SL1,Inbound,55593061,74616,crtst,10,Midpoint,Headway,1900-01-01T07:45:00Z,1900-01-01T07:52:41Z,600,481
2022-05-14,SL1,Inbound,55593109,27092,trmb1,2,Midpoint,Headway,1900-01-01T07:49:00Z,1900-01-01T07:48:35Z,600,550
2022-05-14,SL1,Inbound,55593031,17091,terma,1,Startpoint,Headway,1900-01-01T07:58:00Z,1900-01-01T08:04:43Z,600,1048
2022-05-14,SL1,Inbound,55593031,17094,trmcd,4,Midpoint,Headway,1900-01-01T08:03:00Z,1900-01-01T08:10:33Z,600,1101
2022-05-14,SL1,Inbound,55593063,17091,terma,1,Startpoint,Headway,1900-01-01T08:08:00Z,1900-01-01T08:12:03Z,600,440
2022-05-14,SL1,Inbound,55593063,17093,trmb2,3,Midpoint,Headway,1900-01-01T08:11:00Z,1900-01-01T08:14:33Z,600,418
2022-05-14,SL1,Inbound,55593063,12007,twtnn,6,Midpoint,Headway,1900-01-01T08:17:00Z,1900-01-01T08:20:49Z,600,408
2022-05-14,SL1,Inbound,55593063,74614,conrd,8,Midpoint,Headway,1900-01-01T08:21:00Z,1900-01-01T08:29:18Z,600,493
